City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,taltal,-25.4,-70.4833,62.51,82,59,7.18,CL,1702143570
326,tamale,9.4008,-0.8393,91.04,12,38,5.86,GH,1702143570
327,alice springs,-23.7,133.8833,63.95,94,100,6.91,AU,1702143384
328,pasighat,28.0667,95.3333,59.5,89,32,4.09,IN,1702143570
329,vera,-29.4593,-60.2126,81.75,45,2,10.45,AR,1702143571
330,kulhudhuffushi,6.6221,73.07,83.79,78,90,8.72,MV,1702143478
331,bukama,-9.2,25.85,73.17,86,91,1.88,CD,1702143482
332,ashkasham,36.6833,71.5333,13.33,82,52,1.32,AF,1702143571
333,arawa,-6.2132,155.5367,77.83,89,100,3.85,PG,1702143571
334,concepcion,-36.827,-73.0498,69.6,46,0,14.97,CL,1702143391
335,kodiak,57.79,-152.4072,26.11,68,40,3.44,US,1702143571
336,kirakira,-10.4544,161.9205,80.11,82,100,8.05,SB,1702143571
337,olinda,-8.0089,-34.8553,83.93,65,40,12.66,BR,1702143572
338,big bend,-26.8167,31.9333,84.29,74,67,5.75,SZ,1702143572
339,okhotsk,59.3833,143.3,21.79,96,100,8.08,RU,1702143572
340,sur,22.5667,59.5289,76.28,53,3,8.93,OM,1702143505
341,katsuura,35.1333,140.3,50.83,62,91,4.07,JP,1702143572
342,san juan,-31.5375,-68.5364,86.76,30,0,22.24,AR,1702142967
343,dudinka,69.4058,86.1778,-23.39,96,97,3.0,RU,1702143452
344,de aar,-30.6497,24.0123,60.94,62,100,19.89,ZA,1702143573
345,the pas,53.8251,-101.2541,17.62,79,0,8.05,CA,1702143573
346,papao,-17.75,-149.55,83.88,85,64,20.33,PF,1702143573
347,port lincoln,-34.7333,135.8667,56.88,77,100,17.47,AU,1702143573
348,wewak,-3.5534,143.6268,78.04,91,100,7.25,PG,1702143573
349,san rafael,-34.6177,-68.3301,82.11,30,0,11.3,AR,1702143445
350,tweed heads,-28.1817,153.547,69.96,89,100,5.75,AU,1702143288
351,swakopmund,-22.6833,14.5333,68.85,81,70,1.99,NA,1702143378
352,guerrero negro,27.9769,-114.0611,68.11,61,0,1.66,MX,1702143467
353,andergrove,-21.0833,149.1833,75.65,73,65,17.07,AU,1702143574
354,malchin,53.7333,12.7833,39.7,100,100,11.97,DE,1702143574
355,taulaga,-11.0553,-171.0883,81.77,76,98,9.04,AS,1702143574
356,nchelenge,-9.3451,28.734,71.46,81,76,3.83,ZM,1702143574
357,marion,39.7684,-86.1555,64.78,83,100,17.27,US,1702143574
358,amahai,-3.3333,128.9167,78.57,85,97,3.0,ID,1702143574
359,puerto baquerizo moreno,-0.9,-89.6,77.99,83,75,13.8,EC,1702143574
360,port macquarie,-31.4333,152.9167,64.89,92,7,6.53,AU,1702143524
